frame,track_id,x1,y1,x2,y2,conf
0,1,1423.9808,741.0143,1494.837,911.8927,0.8263511657714844
0,2,1359.6697,436.5899,1437.8202,525.8613,0.7145754098892212
0,3,1298.4277,263.8617,1335.6736,315.23605,0.5605192184448242
1,1,1430.0542,683.8984,1495.0469,840.2289,0.7765336036682129
2,-1,1369.0708,663.13983,1455.1069,803.7272,0.7054754495620728
2,-1,1177.3416,494.42633,1236.4061,563.3627,0.5709531307220459
2,-1,1261.3356,473.1938,1325.7046,574.85925,0.46994748711586
2,-1,914.911,378.8563,999.7991,467.18692,0.3839031457901001
2,-1,1262.7284,298.069,1316.2888,344.84412,0.21119406819343567
3,-1,927.49585,363.67273,1014.0242,466.9974,0.3548364043235779
3,-1,167.11978,249.92615,215.65065,346.39545,0.3338245749473572
3,-1,1230.7925,325.08606,1310.4197,491.67416,0.22209610044956207
3,-1,1294.9198,782.1777,1359.3857,850.6551,0.14597289264202118
4,-1,944.36444,362.57693,1026.527,437.4625,0.5605660676956177
4,-1,464.0852,268.51144,524.58435,369.87552,0.5349777936935425
4,-1,977.5463,588.8597,1077.9584,702.6039,0.2624954283237457
4,-1,471.59885,329.89005,540.4897,433.17883,0.26024413108825684
5,-1,1555.626,709.1173,1640.888,840.34204,0.927844226360321
5,-1,599.63794,752.2281,659.7191,886.7128,0.9259257912635803
5,-1,1215.6359,455.11258,1279.7448,549.9233,0.9126045107841492
5,-1,877.8241,575.24475,934.3235,671.07025,0.8988494873046875
5,-1,815.664,554.08734,863.64386,645.84845,0.8970860838890076
5,-1,1650.2886,440.82938,1712.7502,520.6704,0.8965873718261719
5,-1,1467.506,417.7175,1515.7994,502.52243,0.8898846507072449
5,-1,825.6484,611.8418,900.505,714.89795,0.8886969685554504
5,-1,1730.4152,588.7321,1766.9242,693.5267,0.8747305274009705
5,-1,1551.1062,482.46985,1607.1636,578.2604,0.8710687160491943
5,-1,1568.5576,556.53625,1625.7125,659.901,0.864550769329071
5,-1,1386.6206,376.73413,1429.4011,449.94208,0.7642205953598022
5,-1,1456.0605,397.73798,1491.2384,460.13766,0.22531172633171082
6,15,1560.362,711.1564,1640.7896,834.59644,0.9321435689926147
6,16,605.51917,751.8087,663.4562,881.3036,0.9215947389602661
6,17,1217.7214,458.18524,1280.257,550.87836,0.9058719277381897
6,18,886.0653,575.06744,942.79,671.11633,0.9196916818618774
6,19,812.0128,556.49854,864.38214,656.53394,0.9221330881118774
6,20,1649.105,443.49545,1708.2795,519.01953,0.8919771313667297
6,21,1472.8885,418.97156,1521.3544,503.91885,0.8801533579826355
6,22,828.9785,616.00104,903.29376,718.4247,0.9251099824905396
